patch,category,id,name,wpa,sample_size
16.1,Keystone,8369,First Strike,-13.4773,120
16.1,Keystone,8010,Conqueror,-9.0902,250
16.1,Keystone,8021,Fleet Footwork,-4.3786,6296
16.1,Keystone,8005,Press the Attack,-4.627,4326
16.1,Keystone,8008,Lethal Tempo,0.1607,361946
16.1,Keystone,8128,Dark Harvest,-10.724,178
16.1,Keystone,8112,Electrocute,-6.1899,111
16.1,Spell,1,Cleanse,0.2812,23463
16.1,Spell,3,Exhaust,0.4826,3361
16.1,Spell,4,Flash,0.0008,373543
16.1,Spell,6,Ghost,0.125,18478
16.1,Spell,7,Heal,-4.2825,2539
16.1,Spell,12,Teleport,-8.7458,298
16.1,Spell,14,Ignite,-12.174,197
16.1,Spell,21,Barrier,0.0155,325251
16.1,Starter,1036,Long Sword,-3.9281,424
16.1,Starter,1054,Doran's Shield,-8.5887,201
16.1,Starter,1055,Doran's Blade,0.0098,369732
16.1,Starter,1083,Cull,0.1672,2365
16.1,Boots,3006,Berserker's Greaves,-0.2287,351563
16.1,Boots,3009,Boots of Swiftness,-1.8881,2290
16.1,Boots,3047,Plated Steelcaps,2.7738,1986
16.1,Boots,3111,Mercury's Treads,-1.8831,999
16.1,1st Item,2523,Hexoptics C44,-1.1332,3364
16.1,1st Item,3031,Infinity Edge,0.6948,1845
16.1,1st Item,3032,Yun Tal Wildarrows,0.0852,212656
16.1,1st Item,3085,Runaan's Hurricane,-4.3373,315
16.1,1st Item,3087,Statikk Shiv,-1.208,140
16.1,1st Item,3097,Stormrazor,0.559,18737
16.1,1st Item,6672,Kraken Slayer,-0.1701,119864
16.1,1st Item,6676,The Collector,-0.499,4015
16.1,2nd Item,2512,Fiendhunter Bolts,-7.1571,664
16.1,2nd Item,2523,Hexoptics C44,-2.3289,9391
16.1,2nd Item,3031,Infinity Edge,0.6139,184866
16.1,2nd Item,3032,Yun Tal Wildarrows,-4.3503,2829
16.1,2nd Item,3033,Mortal Reminder,-0.6249,1392
16.1,2nd Item,3036,Lord Dominik's Regards,-1.2479,2293
16.1,2nd Item,3046,Phantom Dancer,-0.9284,67378
16.1,2nd Item,3072,Bloodthirster,-7.4073,135
16.1,2nd Item,3085,Runaan's Hurricane,0.326,51560
16.1,2nd Item,3094,Rapid Firecannon,-4.2254,3660
16.1,2nd Item,3097,Stormrazor,-0.0486,1423
16.1,2nd Item,3153,Blade of The Ruined King,-4.3018,152
16.1,2nd Item,6672,Kraken Slayer,-1.8797,2431
16.1,2nd Item,6673,Immortal Shieldbow,-1.0706,411
16.1,2nd Item,6676,The Collector,-0.9164,1480
16.1,2nd Item,6695,Serpent's Fang,4.0189,157
16.1,2nd Item,6701,Opportunity,-6.3982,288
16.1,3rd Item,2512,Fiendhunter Bolts,-1.8523,496
16.1,3rd Item,2523,Hexoptics C44,-1.2788,10965
16.1,3rd Item,3026,Guardian Angel,-0.6419,260
16.1,3rd Item,3031,Infinity Edge,-0.7855,87089
16.1,3rd Item,3032,Yun Tal Wildarrows,-4.3112,358
16.1,3rd Item,3033,Mortal Reminder,0.0153,11875
16.1,3rd Item,3036,Lord Dominik's Regards,-0.6091,24995
16.1,3rd Item,3046,Phantom Dancer,0.3823,16956
16.1,3rd Item,3072,Bloodthirster,-5.6385,658
16.1,3rd Item,3085,Runaan's Hurricane,1.2423,96263
16.1,3rd Item,3091,Wit's End,-4.6111,134
16.1,3rd Item,3094,Rapid Firecannon,-2.3591,6491
16.1,3rd Item,3097,Stormrazor,-2.8746,494
16.1,3rd Item,3139,Mercurial Scimitar,0.8725,119
16.1,3rd Item,3153,Blade of The Ruined King,-8.3944,181
16.1,3rd Item,3156,Maw of Malmortius,-4.3929,261
16.1,3rd Item,6672,Kraken Slayer,-0.5584,543
16.1,3rd Item,6673,Immortal Shieldbow,0.787,673
16.1,3rd Item,6676,The Collector,-0.3287,591
16.1,3rd Item,6695,Serpent's Fang,-6.8546,248
16.1,4th+ Item,2504,Kaenic Rookern,-0.7715,243
16.1,4th+ Item,2512,Fiendhunter Bolts,-2.287,387
16.1,4th+ Item,2523,Hexoptics C44,-1.2834,15074
16.1,4th+ Item,3026,Guardian Angel,1.7025,20174
16.1,4th+ Item,3031,Infinity Edge,-1.8092,11934
16.1,4th+ Item,3032,Yun Tal Wildarrows,-4.2996,542
16.1,4th+ Item,3033,Mortal Reminder,0.3897,30992
16.1,4th+ Item,3036,Lord Dominik's Regards,1.0105,63059
16.1,4th+ Item,3046,Phantom Dancer,-0.4897,5369
16.1,4th+ Item,3072,Bloodthirster,0.1472,27576
16.1,4th+ Item,3085,Runaan's Hurricane,-0.7326,14988
16.1,4th+ Item,3091,Wit's End,-4.6012,448
16.1,4th+ Item,3094,Rapid Firecannon,-4.0597,5138
16.1,4th+ Item,3097,Stormrazor,-2.8981,1164
16.1,4th+ Item,3139,Mercurial Scimitar,0.367,4130
16.1,4th+ Item,3143,Randuin's Omen,-2.192,505
16.1,4th+ Item,3153,Blade of The Ruined King,-1.9152,1412
16.1,4th+ Item,3156,Maw of Malmortius,-1.8265,3026
16.1,4th+ Item,3157,Zhonya's Hourglass,-9.627,124
16.1,4th+ Item,3814,Edge of Night,-1.0794,492
16.1,4th+ Item,6665,"Jak'Sho, The Protean",-6.2046,212
16.1,4th+ Item,6672,Kraken Slayer,-1.2708,1668
16.1,4th+ Item,6673,Immortal Shieldbow,-2.4675,4478
16.1,4th+ Item,6676,The Collector,-2.1323,1678
16.1,4th+ Item,6695,Serpent's Fang,-0.3209,740
16.1,All Items,2504,Kaenic Rookern,-1.363,285
16.1,All Items,2512,Fiendhunter Bolts,-4.2793,1607
16.1,All Items,2523,Hexoptics C44,-1.497,38997
16.1,All Items,3026,Guardian Angel,1.7193,21300
16.1,All Items,3031,Infinity Edge,0.0864,285744
16.1,All Items,3032,Yun Tal Wildarrows,0.0079,216461
16.1,All Items,3033,Mortal Reminder,0.2551,44379
16.1,All Items,3036,Lord Dominik's Regards,0.5077,90602
16.1,All Items,3046,Phantom Dancer,-0.6466,89985
16.1,All Items,3072,Bloodthirster,-0.0324,29158
16.1,All Items,3085,Runaan's Hurricane,0.763,163423
16.1,All Items,3087,Statikk Shiv,-3.9996,202
16.1,All Items,3091,Wit's End,-3.7165,703
16.1,All Items,3094,Rapid Firecannon,-3.3596,15530
16.1,All Items,3097,Stormrazor,0.2589,21906
16.1,All Items,3139,Mercurial Scimitar,0.1988,4475
16.1,All Items,3143,Randuin's Omen,-1.5931,578
16.1,All Items,3153,Blade of The Ruined King,-2.7718,1963
16.1,All Items,3156,Maw of Malmortius,-2.0891,3447
16.1,All Items,3157,Zhonya's Hourglass,-7.1079,170
16.1,All Items,3508,Essence Reaver,2.4741,123
16.1,All Items,3814,Edge of Night,-0.1999,618
16.1,All Items,6665,"Jak'Sho, The Protean",-5.6972,278
16.1,All Items,6672,Kraken Slayer,-0.2197,124665
16.1,All Items,6673,Immortal Shieldbow,-2.026,5772
16.1,All Items,6676,The Collector,-0.9989,7883
16.1,All Items,6694,Serylda's Grudge,-4.9056,112
16.1,All Items,6695,Serpent's Fang,-1.1982,1209
16.1,All Items,6697,Hubris,-4.1071,126
16.1,All Items,6701,Opportunity,-5.4926,432
16.2,Keystone,8369,First Strike,-10.3687,163
16.2,Keystone,8010,Conqueror,-2.6787,272
16.2,Keystone,8021,Fleet Footwork,-4.1502,5544
16.2,Keystone,8005,Press the Attack,-3.0133,1383
16.2,Keystone,8008,Lethal Tempo,0.0851,409443
16.2,Keystone,8229,Arcane Comet,-4.8739,108
16.2,Keystone,8128,Dark Harvest,-11.2258,172
16.2,Keystone,8112,Electrocute,-8.8969,119
16.2,Spell,1,Cleanse,0.4312,30626
16.2,Spell,3,Exhaust,-0.254,2970
16.2,Spell,4,Flash,0.0007,417493
16.2,Spell,6,Ghost,0.5262,25555
16.2,Spell,7,Heal,-2.3305,2128
16.2,Spell,12,Teleport,-7.7927,282
16.2,Spell,14,Ignite,-7.8215,201
16.2,Spell,21,Barrier,-0.049,355777
16.2,Starter,1036,Long Sword,-2.7288,390
16.2,Starter,1054,Doran's Shield,-7.5355,220
16.2,Starter,1055,Doran's Blade,0.0217,413656
16.2,Starter,1083,Cull,-2.3398,2414
16.2,Boots,3006,Berserker's Greaves,-0.3088,394661
16.2,Boots,3009,Boots of Swiftness,-0.4732,1967
16.2,Boots,3047,Plated Steelcaps,1.1872,3080
16.2,Boots,3111,Mercury's Treads,-0.186,1355
16.2,1st Item,2523,Hexoptics C44,1.1235,14695
16.2,1st Item,3031,Infinity Edge,0.2811,1623
16.2,1st Item,3032,Yun Tal Wildarrows,-0.1611,232789
16.2,1st Item,3072,Bloodthirster,-4.3446,103
16.2,1st Item,3085,Runaan's Hurricane,-4.807,217
16.2,1st Item,3097,Stormrazor,0.2748,19576
16.2,1st Item,3153,Blade of The Ruined King,2.1767,120
16.2,1st Item,6672,Kraken Slayer,0.148,131984
16.2,1st Item,6676,The Collector,-0.7082,3513
16.2,1st Item,6697,Hubris,11.0596,106
16.2,2nd Item,2512,Fiendhunter Bolts,-3.5142,350
16.2,2nd Item,2523,Hexoptics C44,-1.0657,14029
16.2,2nd Item,3031,Infinity Edge,0.3592,207268
16.2,2nd Item,3032,Yun Tal Wildarrows,-3.1524,2196
16.2,2nd Item,3033,Mortal Reminder,0.5081,1395
16.2,2nd Item,3036,Lord Dominik's Regards,-1.3343,2106
16.2,2nd Item,3046,Phantom Dancer,-0.4724,84084
16.2,2nd Item,3072,Bloodthirster,-2.7453,149
16.2,2nd Item,3085,Runaan's Hurricane,0.1683,52281
16.2,2nd Item,3094,Rapid Firecannon,-2.4013,3311
16.2,2nd Item,3097,Stormrazor,0.0362,1283
16.2,2nd Item,3153,Blade of The Ruined King,-5.4029,110
16.2,2nd Item,6672,Kraken Slayer,-2.8984,1794
16.2,2nd Item,6673,Immortal Shieldbow,-1.6846,1039
16.2,2nd Item,6676,The Collector,0.0167,1164
16.2,2nd Item,6695,Serpent's Fang,-0.9533,164
16.2,2nd Item,6701,Opportunity,-3.887,120
16.2,3rd Item,2512,Fiendhunter Bolts,-5.8273,266
16.2,3rd Item,2523,Hexoptics C44,-0.2255,16706
16.2,3rd Item,3026,Guardian Angel,-0.1874,297
16.2,3rd Item,3031,Infinity Edge,-0.6198,102487
