patch,category,id,name,wpa,sample_size
16.1,Keystone,8005,Press the Attack,0.7142,5002
16.1,Keystone,8008,Lethal Tempo,-2.2558,835
16.1,Keystone,8010,Conqueror,-0.5805,796
16.1,Keystone,8021,Fleet Footwork,-0.0476,249764
16.1,Keystone,8112,Electrocute,-4.294,141
16.1,Keystone,8128,Dark Harvest,-0.3868,567
16.1,Keystone,8229,Arcane Comet,0.3611,28083
16.1,Keystone,8230,Stormraider's Surge,2.4137,108
16.1,Keystone,8369,First Strike,2.3273,1792
16.1,Keystone,8437,Grasp of the Undying,-3.7116,386
16.1,Spell,1,Cleanse,0.1871,10147
16.1,Spell,3,Exhaust,0.5119,5355
16.1,Spell,4,Flash,0.0011,287601
16.1,Spell,6,Ghost,1.4086,1967
16.1,Spell,7,Heal,-1.9187,1630
16.1,Spell,12,Teleport,-0.8206,13126
16.1,Spell,14,Ignite,-2.2315,192
16.1,Spell,21,Barrier,0.0259,255228
16.1,Starter,1036,Long Sword,-1.2466,761
16.1,Starter,1054,Doran's Shield,0.5981,925
16.1,Starter,1055,Doran's Blade,0.1152,273593
16.1,Starter,1056,Doran's Ring,-3.3676,6602
16.1,Starter,1083,Cull,-0.1376,3175
16.1,Starter,3070,Tear of the Goddess,-4.2233,1884
16.1,Boots,3006,Berserker's Greaves,-5.7002,315
16.1,Boots,3009,Boots of Swiftness,0.7127,88407
16.1,Boots,3047,Plated Steelcaps,2.4199,10477
16.1,Boots,3111,Mercury's Treads,1.4698,6387
16.1,Boots,3158,Ionian Boots of Lucidity,-0.2785,163860
16.1,1st Item,3004,Manamune,1.1923,505
16.1,1st Item,3031,Infinity Edge,2.6783,129
16.1,1st Item,3078,Trinity Force,-3.0312,5068
16.1,1st Item,3097,Stormrazor,-0.5653,112
16.1,1st Item,3161,Spear of Shojin,0.5376,880
16.1,1st Item,3508,Essence Reaver,0.0611,270750
16.1,1st Item,6676,The Collector,-7.9679,122
16.1,1st Item,6697,Hubris,-0.1157,1376
16.1,2nd Item,2517,Endless Hunger,4.836,242
16.1,2nd Item,2523,Hexoptics C44,-0.2997,695
16.1,2nd Item,3004,Manamune,0.1347,2959
16.1,2nd Item,3031,Infinity Edge,-1.1113,40792
16.1,2nd Item,3033,Mortal Reminder,-0.9602,1166
16.1,2nd Item,3036,Lord Dominik's Regards,1.8042,1133
16.1,2nd Item,3071,Black Cleaver,4.0723,5037
16.1,2nd Item,3072,Bloodthirster,-2.342,540
16.1,2nd Item,3078,Trinity Force,-3.0721,263
16.1,2nd Item,3094,Rapid Firecannon,-1.628,29242
16.1,2nd Item,3097,Stormrazor,-0.4387,909
16.1,2nd Item,3156,Maw of Malmortius,7.2791,222
16.1,2nd Item,3161,Spear of Shojin,0.3263,167967
16.1,2nd Item,3508,Essence Reaver,1.5424,1253
16.1,2nd Item,3814,Edge of Night,2.3884,129
16.1,2nd Item,6673,Immortal Shieldbow,1.6342,670
16.1,2nd Item,6676,The Collector,-3.8192,267
16.1,2nd Item,6695,Serpent's Fang,2.5628,550
16.1,2nd Item,6697,Hubris,1.5948,7758
16.1,3rd Item,2501,Overlord's Bloodmail,2.1338,150
16.1,3rd Item,2504,Kaenic Rookern,3.5021,111
16.1,3rd Item,2517,Endless Hunger,0.9774,1091
16.1,3rd Item,2523,Hexoptics C44,-0.1612,843
16.1,3rd Item,3004,Manamune,-4.1181,313
16.1,3rd Item,3026,Guardian Angel,4.4651,395
16.1,3rd Item,3031,Infinity Edge,-0.0786,41020
16.1,3rd Item,3033,Mortal Reminder,1.3581,8751
16.1,3rd Item,3036,Lord Dominik's Regards,0.4007,11360
16.1,3rd Item,3071,Black Cleaver,2.667,4211
16.1,3rd Item,3072,Bloodthirster,0.1287,1436
16.1,3rd Item,3094,Rapid Firecannon,-0.4174,129287
16.1,3rd Item,3097,Stormrazor,-0.5936,382
16.1,3rd Item,3139,Mercurial Scimitar,6.7394,112
16.1,3rd Item,3143,Randuin's Omen,-0.9906,141
16.1,3rd Item,3156,Maw of Malmortius,4.9532,734
16.1,3rd Item,3157,Zhonya's Hourglass,-4.6745,121
16.1,3rd Item,3161,Spear of Shojin,1.0814,14828
16.1,3rd Item,3814,Edge of Night,2.7324,351
16.1,3rd Item,6333,Death's Dance,6.6641,320
16.1,3rd Item,6653,Liandry's Torment,-4.3528,102
16.1,3rd Item,6665,"Jak'Sho, The Protean",3.1339,131
16.1,3rd Item,6673,Immortal Shieldbow,1.5829,2327
16.1,3rd Item,6694,Serylda's Grudge,-1.0781,222
16.1,3rd Item,6695,Serpent's Fang,0.9635,729
16.1,3rd Item,6697,Hubris,3.3976,247
16.1,4th+ Item,2501,Overlord's Bloodmail,0.1044,1099
16.1,4th+ Item,2504,Kaenic Rookern,-0.841,754
16.1,4th+ Item,2517,Endless Hunger,1.2738,4757
16.1,4th+ Item,2523,Hexoptics C44,-1.1053,1708
16.1,4th+ Item,3004,Manamune,1.2504,126
16.1,4th+ Item,3026,Guardian Angel,2.1653,17675
16.1,4th+ Item,3031,Infinity Edge,-0.6041,56931
16.1,4th+ Item,3033,Mortal Reminder,0.4089,20580
16.1,4th+ Item,3036,Lord Dominik's Regards,0.631,38077
16.1,4th+ Item,3053,Sterak's Gage,-2.4136,119
16.1,4th+ Item,3065,Spirit Visage,4.3409,146
16.1,4th+ Item,3071,Black Cleaver,1.1496,935
16.1,4th+ Item,3072,Bloodthirster,-1.1015,19264
16.1,4th+ Item,3094,Rapid Firecannon,-0.5797,22543
16.1,4th+ Item,3097,Stormrazor,-3.1894,502
16.1,4th+ Item,3110,Frozen Heart,-4.8537,135
16.1,4th+ Item,3139,Mercurial Scimitar,-0.7554,2075
16.1,4th+ Item,3143,Randuin's Omen,-0.4696,974
16.1,4th+ Item,3156,Maw of Malmortius,1.5871,3591
16.1,4th+ Item,3157,Zhonya's Hourglass,-3.5849,1409
16.1,4th+ Item,3161,Spear of Shojin,-0.5671,6245
16.1,4th+ Item,3814,Edge of Night,3.7363,2142
16.1,4th+ Item,6333,Death's Dance,1.4608,1649
16.1,4th+ Item,6609,Chempunk Chainsword,-1.9735,482
16.1,4th+ Item,6653,Liandry's Torment,-3.4007,312
